Rooms	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

1		[0, 5, 5, 3, 10, 10, 12, 13, 15, 13, 18, 15, 17, 17]
2		[5, 0, 7, 5, 5, 12, 7, 10, 10, 8, 13, 10, 14, 14]
3		[5, 7, 0, 5, 12, 5, 11, 8, 11, 12, 17, 14, 12, 12]
4		[3, 5, 5, 0, 10, 10, 12, 13, 15, 13, 18, 15, 17, 17]
5		[10, 5, 12, 10, 0, 8, 2, 5, 5, 3, 8, 5, 9, 9]
6		[10, 12, 5, 10, 8, 0, 6, 3, 6, 7, 12, 9, 7, 7]
7		[12, 7, 11, 12, 2, 6, 0, 3, 3, 1, 6, 3, 7, 7]
8		[13, 10, 8, 13, 5, 3, 3, 0, 3, 4, 9, 6, 4, 4]
9		[15, 10, 11, 15, 5, 6, 3, 3, 0, 4, 9, 6, 7, 7]
10		[13, 8, 12, 13, 3, 7, 1, 4, 4, 0, 5, 2, 8, 8]
11		[18, 13, 17, 18, 8, 12, 6, 9, 9, 5, 0, 4, 6, 8]
12		[15, 10, 14, 15, 5, 9, 3, 6, 6, 2, 4, 0, 8, 10]
13		[17, 14, 12, 17, 9, 7, 7, 4, 7, 8, 6, 8, 0, 2]
14		[17, 14, 12, 17, 9, 7, 7, 4, 7, 8, 8, 10, 2, 0]
